Player Name, Ranking, Link
Naomi Osaka,1,https://www.wtatennis.com//players/player/319998/title/naomi-osaka-0
Ashleigh Barty,2,https://www.wtatennis.com//players/player/318033/title/ashleigh-barty-0
Karolina Pliskova,3,https://www.wtatennis.com//players/player/313974/title/karolina-pliskova-0
Simona Halep,4,https://www.wtatennis.com//players/player/314320/title/simona-halep
Elina Svitolina,5,https://www.wtatennis.com//players/player/316738/title/elina-svitolina-0
Petra Kvitova,6,https://www.wtatennis.com//players/player/314206/title/petra-kvitova-0
Kiki Bertens,7,https://www.wtatennis.com//players/player/314584/title/kiki-bertens-0
Serena Williams,8,https://www.wtatennis.com//players/player/230234/title/serena-williams-0
Aryna Sabalenka,9,https://www.wtatennis.com//players/player/320760/title/aryna-sabalenka-0
Madison Keys,10,https://www.wtatennis.com//players/player/316959/title/madison-keys-0
Sloane Stephens,11,https://www.wtatennis.com//players/player/315683/title/sloane-stephens-0
Anastasija Sevastova,12,https://www.wtatennis.com//players/player/313987/title/anastasija-sevastova-0
Belinda Bencic,13,https://www.wtatennis.com//players/player/319001/title/belinda-bencic-0
Angelique Kerber,14,https://www.wtatennis.com//players/player/311470/title/angelique-kerber
Bianca Andreescu,15,https://www.wtatennis.com//players/player/325088/title/bianca-andreescu-0
Johanna Konta,16,https://www.wtatennis.com//players/player/313907/title/johanna-konta-0
Marketa Vondrousova,17,https://www.wtatennis.com//players/player/323027/title/marketa-vondrousova-0
Qiang Wang,18,https://www.wtatennis.com//players/player/314429/title/qiang-wang-0
Caroline Wozniacki,19,https://www.wtatennis.com//players/player/313402/title/caroline-wozniacki-0
Sofia Kenin,20,https://www.wtatennis.com//players/player/320942/title/sofia-kenin-0
Anett Kontaveit,21,https://www.wtatennis.com//players/player/318425/title/anett-kontaveit-0
Petra Martic,22,https://www.wtatennis.com//players/player/313711/title/petra-martic-0
Donna Vekic,23,https://www.wtatennis.com//players/player/318516/title/donna-vekic-0
Amanda Anisimova,24,https://www.wtatennis.com//players/player/326384/title/amanda-anisimova-0
Garbiñe Muguruza,25,https://www.wtatennis.com//players/player/316239/title/garbi%C3%B1e-muguruza-0
Elise Mertens,26,https://www.wtatennis.com//players/player/317964/title/elise-mertens-0
Julia Goerges,27,https://www.wtatennis.com//players/player/313381/title/julia-goerges-0
Caroline Garcia,28,https://www.wtatennis.com//players/player/315391/title/caroline-garcia-0
Carla Suárez Navarro,29,https://www.wtatennis.com//players/player/311338/title/carla-su%C3%A1rez-navarro-0
Su-Wei Hsieh,30,https://www.wtatennis.com//players/player/310053/title/su-wei-hsieh-0
Maria Sakkari,31,https://www.wtatennis.com//players/player/318312/title/maria-sakkari-0
Barbora Strycova,32,https://www.wtatennis.com//players/player/190879/title/barbora-strycova-0
Dayana Yastremska,33,https://www.wtatennis.com//players/player/324261/title/dayana-yastremska-0
Shuai Zhang,34,https://www.wtatennis.com//players/player/311779/title/shuai-zhang-0
Danielle Collins,35,https://www.wtatennis.com//players/player/316925/title/danielle-collins-0
Alison Riske,36,https://www.wtatennis.com//players/player/312850/title/alison-riske-0
Saisai Zheng,37,https://www.wtatennis.com//players/player/316286/title/saisai-zheng-0
Katerina Siniakova,38,https://www.wtatennis.com//players/player/320301/title/katerina-siniakova-0
Yulia Putintseva,39,https://www.wtatennis.com//players/player/317683/title/Yulia-Putintseva
Lesia Tsurenko,40,https://www.wtatennis.com//players/player/315295/title/lesia-tsurenko-0
Victoria Azarenka,41,https://www.wtatennis.com//players/player/312001/title/victoria-azarenka-0
Daria Kasatkina,42,https://www.wtatennis.com//players/player/322082/title/daria-kasatkina-0
Ekaterina Alexandrova,43,https://www.wtatennis.com//players/player/319007/title/ekaterina-alexandrova-0
Monica Puig,44,https://www.wtatennis.com//players/player/317755/title/monica-puig-0
Aliaksandra Sasnovich,45,https://www.wtatennis.com//players/player/317790/title/aliaksandra-sasnovich-0
Anastasia Pavlyuchenkova,46,https://www.wtatennis.com//players/player/313796/title/Anastasia-Pavlyuchenkova
Karolina Muchova,47,https://www.wtatennis.com//players/player/322191/title/karolina-muchova-0
Ajla Tomljanovic,48,https://www.wtatennis.com//players/player/315232/title/ajla-tomljanovic-0
Iga Swiatek,49,https://www.wtatennis.com//players/player/326408/title/iga-swiatek-0
Yafan Wang,50,https://www.wtatennis.com//players/player/317510/title/yafan-wang-0
Veronika Kudermetova,51,https://www.wtatennis.com//players/player/319526/title/veronika-kudermetova-0
Venus Williams,52,https://www.wtatennis.com//players/player/230220/title/Venus-Williams-0
Kristina Mladenovic,53,https://www.wtatennis.com//players/player/315616/title/kristina-mladenovic-0
Viktoria Kuzmova,54,https://www.wtatennis.com//players/player/322277/title/viktoria-kuzmova-0
Marie Bouzkova,55,https://www.wtatennis.com//players/player/320983/title/marie-bouzkova-0
Polona Hercog,56,https://www.wtatennis.com//players/player/313968/title/Polona-HERCOG
Jessica Pegula,57,https://www.wtatennis.com//players/player/316956/title/Jessica-PEGULA
Camila Giorgi,58,https://www.wtatennis.com//players/player/314610/title/Camila-GIORGI
Jil Teichmann,59,https://www.wtatennis.com//players/player/320926/title/jil-teichmann-0
Margarita Gasparyan,60,https://www.wtatennis.com//players/player/317938/title/margarita-gasparyan-0
Ons Jabeur,61,https://www.wtatennis.com//players/player/316847/title/ons-jabeur-0
Svetlana Kuznetsova,62,https://www.wtatennis.com//players/player/110552/title/svetlana-kuznetsova-0
Tamara Zidansek,63,https://www.wtatennis.com//players/player/323079/title/tamara-zidansek-0
Alizé Cornet,64,https://www.wtatennis.com//players/player/312121/title/aliz%C3%A9-cornet-0
Jennifer Brady,65,https://www.wtatennis.com//players/player/318358/title/jennifer-brady-0
Alison Van Uytvanck,66,https://www.wtatennis.com//players/player/317819/title/Alison-van-Uytvanck
Elena Rybakina,67,https://www.wtatennis.com//players/player/324166/title/elena-rybakina-0
Dominika Cibulkova,68,https://www.wtatennis.com//players/player/312894/title/dominika-cibulkova-0
Bernarda Pera,69,https://www.wtatennis.com//players/player/317708/title/bernarda-pera-0
Rebecca Peterson,70,https://www.wtatennis.com//players/player/317771/title/rebecca-peterson-0
Lauren Davis,71,https://www.wtatennis.com//players/player/317414/title/lauren-davis-0
Fiona Ferro,72,https://www.wtatennis.com//players/player/319969/title/fiona-ferro-0
Viktorija Golubic,73,https://www.wtatennis.com//players/player/316296/title/viktorija-golubic-0
Kateryna Kozlova,74,https://www.wtatennis.com//players/player/316739/title/kateryna-kozlova-0
Jelena Ostapenko,75,https://www.wtatennis.com//players/player/319939/title/jelena-ostapenko-0
Agnieszka Radwanska,76,https://www.wtatennis.com//players/player/312251/title/Agnieszka-RADWANSKA-0
Anastasia Potapova,76,https://www.wtatennis.com//players/player/325601/title/anastasia-potapova-0
Zarina Diyas,77,https://www.wtatennis.com//players/player/315696/title/Zarina-DIYAS
Madison Brengle,78,https://www.wtatennis.com//players/player/312328/title/Madison-BRENGLE
Tatjana Maria,79,https://www.wtatennis.com//players/player/310440/title/Tatjana-Maria
Magda Linette,80,https://www.wtatennis.com//players/player/315130/title/Magda-LINETTE
Pauline Parmentier,81,https://www.wtatennis.com//players/player/160515/title/pauline-parmentier-0
Sara Sorribes Tormo,82,https://www.wtatennis.com//players/player/318872/title/sara-sorribes-tormo-0
Kaia Kanepi,83,https://www.wtatennis.com//players/player/110536/title/Kaia-KANEPI
Daria Gavrilova,84,https://www.wtatennis.com//players/player/315997/title/daria-gavrilova-0
Vera Zvonareva,85,https://www.wtatennis.com//players/player/260142/title/Vera-ZVONAREVA
Kristyna Pliskova,86,https://www.wtatennis.com//players/player/313975/title/kristyna-pliskova-0
Maria Sharapova,87,https://www.wtatennis.com//players/player/310137/title/Maria-Sharapova
Timea Bacsinszky,88,https://www.wtatennis.com//players/player/311579/title/Timea-Bacsinszky-0
Andrea Petkovic,89,https://www.wtatennis.com//players/player/310770/title/andrea-petkovic-0
Laura Siegemund,90,https://www.wtatennis.com//players/player/310926/title/laura-siegemund-0
Paula Badosa,91,https://www.wtatennis.com//players/player/320124/title/paula-badosa-gibert-0
Irina-Camelia Begu,92,https://www.wtatennis.com//players/player/313169/title/irina-camelia-begu-0
Anna Blinkova,93,https://www.wtatennis.com//players/player/324267/title/anna-blinkova-0
Ivana Jorovic,94,https://www.wtatennis.com//players/player/320360/title/Ivana-JOROVIC-0
Astra Sharma,95,https://www.wtatennis.com//players/player/319696/title/astra-sharma-0
Anna Karolina Schmiedlova,96,https://www.wtatennis.com//players/player/318203/title/anna-karolina-schmiedlova-0
Aleksandra Krunic,97,https://www.wtatennis.com//players/player/316344/title/aleksandra-krunic-0%20
Natalia Vikhlyantseva,98,https://www.wtatennis.com//players/player/320832/title/Natalia-Vikhlyantseva
Beatriz Haddad Maia,99,https://www.wtatennis.com//players/player/318176/title/Beatriz-Haddad-Maia
