Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final
1969,Rod Laver,1,AUS,Andrés Gimeno,9,ESP,"6–3, 6–4, 7–5"
1970,Arthur Ashe,4,USA,Dick Crealy,12,AUS,"6–4, 9–7, 6–2"
1971,Ken Rosewall,2,AUS,Arthur Ashe,3,USA,"6–1, 7–5, 6–3"
1972,Ken Rosewall,2,AUS,Malcolm Anderson,8,AUS,"7–6(7–2), 6–3, 7–5"
1973,John Newcombe,2,AUS,Onny Parun,12,NZL,"6–3, 6–7, 7–5, 6–1"
1974,Jimmy Connors,2,USA,Phil Dent,9,AUS,"7–6(9–7), 6–4, 4–6, 6–3"
1975,John Newcombe,2,AUS,Jimmy Connors,1,USA,"7–5, 3–6, 6–4, 7–6(9–7)"
1976,Mark Edmondson,0,AUS,John Newcombe,2,AUS,"6–7, 6–3, 7–6, 6–1"
1977,Roscoe Tanner,2,USA,Guillermo Vilas,1,ARG,"6–3, 6–3, 6–3"
1977,Vitas Gerulaitis,1,USA,John Lloyd,0,GBR,"6–3, 7–6(7–1), 5–7, 3–6, 6–2"
1978,Guillermo Vilas,1,ARG,John Marks,0,AUS,"6–4, 6–4, 3–6, 6–3"
1979,Guillermo Vilas,1,ARG,John Sadri,6,USA,"7–6(7–4), 6–3, 6–2"
1980,Brian Teacher,8,USA,Kim Warwick,14,AUS,"7–5, 7–6(7–4), 6–3"
1981,Johan Kriek,4,RSA,Steve Denton,0,USA,"6–2, 7–6(7–1), 6–7(1–7), 6–4"
1982,Johan Kriek,1,USA,Steve Denton,2,USA,"6–3, 6–3, 6–2"
1983,Mats Wilander,3,SWE,Ivan Lendl,1,TCH,"6–1, 6–4, 6–4"
1984,Mats Wilander,2,SWE,Kevin Curren,9,RSA,"6–7(5–7), 6–4, 7–6(7–3), 6–2"
1985,Stefan Edberg,6,SWE,Mats Wilander,3,SWE,"6–4, 6–3, 6–3"
1987,Stefan Edberg,4,SWE,Pat Cash,11,AUS,"6–3, 6–4, 3–6, 5–7, 6–3"
1988,Mats Wilander,3,SWE,Pat Cash,4,AUS,"6–3, 6–7(3–7), 3–6, 6–1, 8–6"
1989,Ivan Lendl,2,TCH,Miloslav Mečíř,9,TCH,"6–2, 6–2, 6–2"
1990,Ivan Lendl,1,TCH,Stefan Edberg,3,SWE,"4–6, 7–6(7–3), 5–2 retired"
1991,Boris Becker,2,GER,Ivan Lendl,3,TCH,"1–6, 6–4, 6–4, 6–4"
1992,Jim Courier,2,USA,Stefan Edberg,1,SWE,"6–3, 3–6, 6–4, 6–2"
1993,Jim Courier,1,USA,Stefan Edberg,2,SWE,"6–2, 6–1, 2–6, 7–5"
1994,Pete Sampras,1,USA,Todd Martin,9,USA,"7–6(7–4), 6–4, 6–4"
1995,Andre Agassi,2,USA,Pete Sampras,1,USA,"4–6, 6–1, 7–6(8–6), 6–4"
1996,Boris Becker,4,GER,Michael Chang,5,USA,"6–2, 6–4, 2–6, 6–2"
1997,Pete Sampras,1,USA,Carlos Moyá,0,ESP,"6–2, 6–3, 6–3"
1998,Petr Korda,6,CZE,Marcelo Ríos,9,CHI,"6–2, 6–2, 6–2"
1999,Yevgeny Kafelnikov,10,RUS,Thomas Enqvist,0,SWE,"4–6, 6–0, 6–3, 7–6(7–1)"
2000,Andre Agassi,1,USA,Yevgeny Kafelnikov,2,RUS,"3–6, 6–3, 6–2, 6–4"
2001,Andre Agassi,6,USA,Arnaud Clément,15,FRA,"6–4, 6–2, 6–2"
2002,Thomas Johansson,16,SWE,Marat Safin,9,RUS,"3–6, 6–4, 6–4, 7–6(7–4)"
2003,Andre Agassi,2,USA,Rainer Schüttler,31,GER,"6–2, 6–2, 6–1"
2004,Roger Federer,2,SUI,Marat Safin,0,RUS,"7–6(7–3), 6–4, 6–2"
2005,Marat Safin,4,RUS,Lleyton Hewitt,3,AUS,"1–6, 6–3, 6–4, 6–4"
2006,Roger Federer,1,SUI,Marcos Baghdatis,0,CYP,"5–7, 7–5, 6–0, 6–2"
2007,Roger Federer,1,SUI,Fernando González,10,CHI,"7–6(7–2), 6–4, 6–4"
2008,Novak Djokovic,3,SRB,Jo-Wilfried Tsonga,0,FRA,"4–6, 6–4, 6–3, 7–6(7–2)"
2009,Rafael Nadal,1,ESP,Roger Federer,2,SUI,"7–5, 3–6, 7–6(7–3), 3–6, 6–2"
2010,Roger Federer,1,SUI,Andy Murray,5,GBR,"6–3, 6–4, 7–6(13–11)"
2011,Novak Djokovic,3,SRB,Andy Murray,5,GBR,"6–4, 6–2, 6–3"
2012,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"5–7, 6–4, 6–2, 6–7(5–7), 7–5"
2013,Novak Djokovic,1,SRB,Andy Murray,3,GBR,"6–7(2–7), 7–6(7–3), 6–3, 6–2"
2014,Stan Wawrinka,8,SUI,Rafael Nadal,1,ESP,"6–3, 6–2, 3–6, 6–3"
2015,Novak Djokovic,1,SRB,Andy Murray,6,GBR,"7–6(7–5), 6–7(4–7), 6–3, 6–0"
2016,Novak Djokovic,1,SRB,Andy Murray,2,GBR,"6–1, 7–5, 7–6(7–3)"
2017,Roger Federer,17,SUI,Rafael Nadal,9,ESP,"6–4, 3–6, 6–1, 3–6, 6–3"
2018,Roger Federer,2,SUI,Marin Cilic,6,CRO,"6-2, 6-7(7-5), 6-3, 3-6, 6-1"
2019,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"6–3, 6–2, 6–3"
2020,Novak Djokovic,2,SRB,Dominic Thiem,5,AUT,"6-4, 4-6, 2-6, 6-3, 6-4"
2021,Novak Djokovic,1,SRB,Daniil Medvedev,4,RUS,"7-5, 6-2, 6-2"
1969,Margaret Court,2, AUS,Billie Jean King,1, USA,"6–4, 6–1"
1970,Margaret Court,1, AUS,Kerry Melville,2, AUS,"6–1, 6–3"
1971,Margaret Court,1, AUS,Evonne Goolagong,2, AUS,"2–6, 7–6(7–0), 7–5"
1972,Virginia Wade,2, GBR,Evonne Goolagong,1, AUS,"6–4, 6–4"
1973,Margaret Court,1, AUS,Evonne Goolagong,2, AUS,"6–4, 7–5"
1974,Evonne Goolagong,2, AUS,Chris Evert,1, USA,"7–6(7–5), 4–6, 6–0"
1975,Evonne Goolagong,3, AUS,Martina Navratilova,8, TCH,"6–3, 6–2"
1976,Evonne Goolagong,1, AUS,Renáta Tomanová,5, TCH,"6–2, 6–2"
1977,Kerry Melville Reid,2, AUS,Dianne Fromholtz,1, AUS,"7–5, 6–2"
1977,Evonne Goolagong,1, AUS,Helen Gourlay,5, AUS,"6–3, 6–0"
1978,Chris O'Neil,0, AUS,Betsy Nagelsen,7, USA,"6–3, 7–6(7–3)"
1979,Barbara Jordan,5, USA,Sharon Walsh,4, USA,"6–3, 6–3"
1980,Hana Mandlíková,3, TCH,Wendy Turnbull,4, AUS,"6–0, 7–5"
1981,Martina Navratilova,3, USA,Chris Evert,1, USA,"6–7(7–4), 6–4, 7–5"
1982,Chris Evert,2, USA,Martina Navratilova,1, USA,"6–3, 2–6, 6–3"
1983,Martina Navratilova,1, USA,Kathy Jordan,9, USA,"6–2, 7–6(7–5)"
1984,Chris Evert,2, USA,Helena Suková,9, TCH,"6–7(4–7), 6–1, 6–3"
1985,Martina Navratilova,2, USA,Chris Evert,1, USA,"6–2, 4–6, 6–2"
1987,Hana Mandlíková,2, TCH,Martina Navratilova,1, USA,"7–5, 7–6(7–1)"
1988,Steffi Graf,1, FRG,Chris Evert,3, USA,"6–1, 7–6(7–3)"
1989,Steffi Graf,1, FRG,Helena Suková,5, TCH,"6–4, 6–4"
1990,Steffi Graf,1, FRG,Mary Joe Fernández,6, USA,"6–3, 6–4"
1991,Monica Seles,2, YUG,Jana Novotná,10, TCH,"5–7, 6–3, 6–1"
1992,Monica Seles,1, YUG,Mary Joe Fernández,7, USA,"6–2, 6–3"
1993,Monica Seles,1, YUG,Steffi Graf,2, GER,"4–6, 6–3, 6–2"
1994,Steffi Graf,1, GER,Arantxa Sánchez Vicario,2, ESP,"6–0, 6–2"
1995,Mary Pierce,4, FRA,Arantxa Sánchez Vicario,1, ESP,"6–3, 6–2"
1996,Monica Seles,1, USA,Anke Huber,8, GER,"6–4, 6–1"
1997,Martina Hingis,4, SUI,Mary Pierce,0, FRA,"6–2, 6–2"
1998,Martina Hingis,1, SUI,Conchita Martínez,8, ESP,"6–3, 6–3"
1999,Martina Hingis,2, SUI,Amélie Mauresmo,0, FRA,"6–2, 6–3"
2000,Lindsay Davenport,2, USA,Martina Hingis,1, SUI,"6–1, 7–5"
2001,Jennifer Capriati,12, USA,Martina Hingis,1, SUI,"6–4, 6–3"
2002,Jennifer Capriati,1, USA,Martina Hingis,3, SUI,"4–6, 7–6(9–7), 6–2"
2003,Serena Williams,1, USA,Venus Williams,2, USA,"7–6(7–4), 3–6, 6–4"
2004,Justine Henin,1, BEL,Kim Clijsters,2, BEL,"6–3, 4–6, 6–3"
2005,Serena Williams,7, USA,Lindsay Davenport,1, USA,"2–6, 6–3, 6–0"
2006,Amélie Mauresmo,3, FRA,Justine Henin,8, BEL,"6–1, 2–0 retired"
2007,Serena Williams,0, USA,Maria Sharapova,1, RUS,"6–1, 6–2"
2008,Maria Sharapova,5, RUS,Ana Ivanovic,4, SRB,"7–5, 6–3"
2009,Serena Williams,2, USA,Dinara Safina,3, RUS,"6–0, 6–3"
2010,Serena Williams,1, USA,Justine Henin,0, BEL,"6–4, 3–6, 6–2"
2011,Kim Clijsters,3, BEL,Li Na,9, CHN,"3–6, 6–3, 6–3"
2012,Victoria Azarenka,3, BLR,Maria Sharapova,4, RUS,"6–3, 6–0"
2013,Victoria Azarenka,1, BLR,Li Na,6, CHN,"4–6, 6–4, 6–3"
2014,Li Na,4, CHN,Dominika Cibulková,20, SVK,"7–6(7–3), 6–0"
2015,Serena Williams,1, USA,Maria Sharapova,2, RUS,"6–3, 7–6(7–5)"
2016,Angelique Kerber,7, GER,Serena Williams,1, USA,"6-4, 3-6, 6-4"
2017,Serena Williams,2, USA,Venus Williams,13, USA,"6-4, 6-4"
2018,Caroline Wozniacki,2,DEN,Simona Halep,1,ROU,"7-6(7-2), 3-6, 6-4"
2019,Naomi Osaka,4,JPN,Petra Kvitova,8,CZE,"7-6(7-2), 5-7, 6-4"
2020,Sofia Kenin,14,USA,Garbiñe Muguruza,0,ESP,"4-6, 6-2, 6-2"
2021,Naomi Osaka,3,JPN,Jennifer Brady,22,USA,"6-4, 6-3"
